x,y,z,V,Ex,Ey,Ez,E_mag
-0.150000,-0.120000,-0.080000,4.25367440e-02,-1.47967787e-01,-1.18068975e-01,-8.54284914e-02,2.07684318e-01
-0.150000,-0.120000,-0.070000,4.33634311e-02,-1.57159759e-01,-1.25364482e-01,-7.96600216e-02,2.16243294e-01
-0.150000,-0.120000,-0.060000,4.41248238e-02,-1.66017270e-01,-1.32388353e-01,-7.23572420e-02,2.24330070e-01
-0.150000,-0.120000,-0.050000,4.48053119e-02,-1.74266667e-01,-1.38924342e-01,-6.34778319e-02,2.31728892e-01
-0.150000,-0.120000,-0.040000,4.53892289e-02,-1.81607189e-01,-1.44735500e-01,-5.30561180e-02,2.38211015e-01
-0.150000,-0.120000,-0.030000,4.58617084e-02,-1.87730825e-01,-1.49579812e-01,-4.12201223e-02,2.43548930e-01
-0.150000,-0.120000,-0.020000,4.62096740e-02,-1.92349386e-01,-1.53231338e-01,-2.82002413e-02,2.47534609e-01
-0.150000,-0.120000,-0.010000,4.64228526e-02,-1.95225585e-01,-1.55504374e-01,-1.43248180e-02,2.49999680e-01
-0.150000,-0.120000,0.000000,1.85978670e-01,-7.84810460e-01,-6.25105383e-01,-6.97420011e+04,6.97420011e+04
-0.150000,-0.120000,0.010000,1.85691410e-01,-7.80902342e-01,-6.22017495e-01,5.72992719e-02,9.99998719e-01
-0.150000,-0.120000,0.020000,1.84838696e-01,-7.69397543e-01,-6.12925351e-01,1.12800965e-01,9.90138436e-01
-0.150000,-0.120000,0.030000,1.83446834e-01,-7.50923301e-01,-5.98319247e-01,1.64880489e-01,9.74195720e-01
-0.150000,-0.120000,0.040000,1.81556916e-01,-7.26428755e-01,-5.78942002e-01,2.12224472e-01,9.52844061e-01
-0.150000,-0.120000,0.050000,1.79221248e-01,-6.97066669e-01,-5.55697368e-01,2.53911328e-01,9.26915566e-01
-0.150000,-0.120000,0.060000,1.76499295e-01,-6.64069082e-01,-5.29553411e-01,2.89428968e-01,8.97320282e-01
-0.150000,-0.120000,0.070000,1.73453724e-01,-6.28639035e-01,-5.01457927e-01,3.18640086e-01,8.64973175e-01
-0.150000,-0.120000,0.080000,1.70146976e-01,-5.91871147e-01,-4.72275901e-01,3.41713966e-01,8.30737272e-01
-0.150000,-0.120000,0.090000,1.66638605e-01,-5.54704133e-01,-4.42751617e-01,3.59044570e-01,7.95385864e-01
-0.150000,-0.120000,0.100000,1.62983442e-01,-5.17901457e-01,-4.13492656e-01,3.71170425e-01,7.59582504e-01
-0.150000,-0.110000,-0.100000,4.17728776e-02,-1.39297622e-01,-1.01848424e-01,-1.00169521e-01,1.99526594e-01
-0.150000,-0.110000,-0.090000,4.27613295e-02,-1.49761326e-01,-1.09450797e-01,-9.72967352e-02,2.09462613e-01
